concepto,monto_por_depto
Aportación inicial,100931.39
Cuota de extraordinaria para filtros de 2024 Diciembre,6000
Cuota de extraordinaria para filtros de 2024 Junio,1014.29
Cuota de mantenimiento de 2023 Diciembre,1500
Cuota de mantenimiento de 2024 Abril,1500
Cuota de mantenimiento de 2024 Agosto,1500
Cuota de mantenimiento de 2024 Diciembre,1500
Cuota de mantenimiento de 2024 Enero,1500
Cuota de mantenimiento de 2024 Febrero,1500
Cuota de mantenimiento de 2024 Julio,1500
Cuota de mantenimiento de 2024 Junio,1500
Cuota de mantenimiento de 2024 Marzo,1500
Cuota de mantenimiento de 2024 Mayo,1500
Cuota de mantenimiento de 2024 Noviembre,1500
Cuota de mantenimiento de 2024 Octubre,1500
Cuota de mantenimiento de 2024 Septiembre,1500
Cuota extraordinaria para tomas de agua 2024 Marzo,557
Cuota de mantenimiento de 2025 Enero,1500
Cuota de mantenimiento de 2025 Febrero,1500
Cuota de mantenimiento de 2025 Marzo,1500
Cuota extraordinaria para la bomba de 2025 Marzo,1000
Cuota de mantenimiento de 2025 Abril,1500
Cuota de mantenimiento de 2025 Mayo,1500
Cuota de mantenimiento de 2025 Junio,1500
Cuota de mantenimiento de 2025 Julio,1500
Cuota de mantenimiento de 2025 Agosto,1500
Cuota de mantenimiento de 2025 Septiembre,1500
Cuota extraordinaria para la bomba de 2025 Octubre,905
Cuota de mantenimiento de 2025 Octubre,1500
Cuota de mantenimiento de 2025 Noviembre,1500
Cuota de mantenimiento de 2025 Diciembre,1500
Cuota de mantenimiento de 2026 Enero,1500
Cuota de mantenimiento de 2026 Febrero,1500
Cuota de mantenimiento de 2026 Marzo,1500
Cuota de mantenimiento de 2026 Abril,1500
Cuota de mantenimiento de 2026 Mayo,1500
Cuota extraordinaria para gestión del acceso al elevador de 2026 Mayo,3858
